mean,std,var,max,min,range,diff_mean,diff_std,skew,kurt,state
43.52,1.3130428906372638,1.7240816326530612,48.0,41.0,7.0,-0.02040816326530612,1.6224168909674932,0.9125914993694224,1.5189473859995823,Normal
43.78,1.568698927943349,2.460816326530612,48.0,41.0,7.0,0.10204081632653061,1.7640965538754538,0.41365827408564465,-0.09216134233065176,Normal
44.0,1.8516401995451028,3.4285714285714284,48.0,39.0,9.0,0.0,2.1759351731039738,-0.32146531242102483,-0.17863475177304977,Normal
41.54,3.411923869284882,11.64122448979592,51.0,37.0,14.0,-0.02040816326530612,3.146036028170308,0.33775048711337313,-0.5585663069025792,Normal
38.88,2.4297476143393486,5.903673469387756,51.0,35.0,16.0,0.10204081632653061,3.065575139693943,2.733150941643849,11.840617403706588,Normal
37.52,2.2609371363870068,5.111836734693878,42.0,33.0,9.0,-0.14285714285714285,2.3647064796066926,0.1769848892652958,-0.2992292811623658,Normal
35.9,2.1404748662530992,4.581632653061224,42.0,33.0,9.0,-0.10204081632653061,2.3668190826006534,0.7985864011846537,0.8807358794973918,Normal
35.36,1.7929567416842553,3.214693877551021,38.0,30.0,8.0,-0.12244897959183673,2.255448306595265,-0.5032813028316094,0.14910045495328994,Normal
35.86,1.666108750156165,2.7759183673469385,38.0,30.0,8.0,0.08163265306122448,2.266317112147223,-0.982419733903726,1.840276429550376,Normal
35.98,1.5712986959317234,2.4689795918367348,41.0,32.0,9.0,0.02040816326530612,2.3078375417513763,0.29732390145226056,1.0948298370919058,Normal
35.36,1.8489931071272498,3.4187755102040818,41.0,32.0,9.0,-0.04081632653061224,2.7771603737944734,0.6549293670803723,0.6487617544365625,Normal
35.22,1.764618245122839,3.113877551020408,39.0,32.0,7.0,-0.061224489795918366,2.706063963415153,0.5097764848452674,-0.550607062341558,Normal
34.16,2.713232878516185,7.361632653061224,41.0,28.0,13.0,-0.12244897959183673,2.3179217737960296,-0.035495436455937016,-0.1724188351416971,Normal
32.18,2.5450231545396313,6.477142857142856,41.0,28.0,13.0,-0.08163265306122448,2.464745172023958,1.0746596582632126,1.9367993916105233,Normal
31.5,1.5152288168283161,2.295918367346939,35.0,28.0,7.0,-0.08163265306122448,2.2753042828030585,-0.3299831645537222,0.2255003940110325,Normal
31.3,1.359021256460032,1.8469387755102038,34.0,27.0,7.0,0.061224489795918366,1.7191379337675663,-0.9807594412825115,1.3020379057350917,Normal
30.86,1.229069666413568,1.5106122448979593,33.0,27.0,6.0,0.02040816326530612,1.5582538096996794,-0.753112890088044,0.380054200591339,Normal
31.22,1.0554039752722215,1.113877551020408,33.0,29.0,4.0,0.061224489795918366,1.3463202042833178,-0.5706206013222154,-0.3519091108510346,Normal
31.68,1.7778684784118908,3.160816326530612,38.0,27.0,11.0,-0.061224489795918366,2.244341303897391,0.12227794924652663,3.783985386719359,Normal
30.68,2.4364577834660395,5.936326530612245,38.0,23.0,15.0,0.02040816326530612,2.6991290803861943,-0.0780706720553402,2.0156035288658947,Normal
30.0,2.1946130708196026,4.816326530612245,34.0,23.0,11.0,0.08163265306122448,2.8416489514039927,-1.3274028264729127,2.5549722429358157,Normal
30.26,2.174152426926457,4.726938775510204,33.0,23.0,10.0,-0.02040816326530612,3.006725766245194,-1.1429528918341847,1.4358844416247916,Normal
