delta_power,theta_power,alpha_power,beta_power,eeg_mean,eeg_std,state
0.0,0.0,1.0073321297064914,0.650681467078867,29.56,1.6267759526130203,Stress
0.0,0.0,0.0508061311108741,0.1061511389125174,30.16,1.5409088227406578,Stress
0.0,0.0,0.500259816454161,0.149715624338269,29.56,2.136913662270893,Stress
0.0,0.0,0.5547630863865736,0.3780536344780772,28.48,1.499866660740214,Stress
0.0,0.0,0.2303452356051297,0.1639118212906523,29.04,1.1128342194594845,Stress
0.0,0.0,2.610140847694029,2.146139289353628,27.6,3.0854497241083023,Stress
0.0,0.0,3.275098609462084,3.784466359462169,25.56,3.567408022640528,Stress
0.0,0.0,0.2494909047728333,0.734401579363706,23.04,1.8650469162999628,Stress
0.0,0.0,0.3455956430752737,1.3395369195298317,22.6,2.262741699796952,Stress
0.0,0.0,0.7835160581155437,1.4112681623441916,23.16,1.9734234213670416,Stress
0.0,0.0,0.2448981090165028,0.2287073041800455,23.56,1.471869559437928,Stress
0.0,0.0,0.2405932349126406,0.3458046630607698,22.8,1.6,Stress
0.0,0.0,0.0072991947956779,0.0908475497841194,23.36,1.292439553712281,Stress
0.0,0.0,0.0138246250485586,0.1638321234407001,23.64,1.5969971822141704,Stress
0.0,0.0,0.3643209097553384,0.514078390460533,24.16,1.781684596105607,Stress
0.0,0.0,0.0051950725513777,0.8144617070402989,24.8,1.4422205101855956,Stress
0.0,0.0,0.23381660181717,1.2030002712978207,24.68,1.76,Stress
0.0,0.0,0.3155598020546327,2.122955828199581,24.96,1.8650469162999623,Stress
0.0,0.0,0.0425073542525793,0.4238923560581343,24.84,1.890608367695436,Stress
0.0,0.0,0.1418996966156438,0.7472081990800414,24.32,1.3481839637082176,Stress
0.0,0.0,0.2975023947626286,0.5437512479194251,24.56,1.6511813952440235,Stress
0.0,0.0,3.221369916558797,2.232112168708084,26.32,2.8102668912400475,Stress
0.0,0.0,0.0433134822525688,0.5145581588096168,28.32,2.3103246525109844,Stress
0.0,0.0,0.2322414039702396,0.225339689823228,28.8,1.5748015748023625,Stress
0.0,0.0,0.2683982953520439,0.5317956099941077,29.12,1.5051910177781425,Stress
0.0,0.0,0.1015751751606955,0.1116306068903327,28.8,1.743559577416269,Stress
0.0,0.0,0.6077552598532323,0.40258553723093,28.12,2.1784398086704164,Stress
0.0,0.0,0.0752801588615636,0.1978179004886123,28.4,1.5231546211727816,Stress
0.0,0.0,0.1151224711379221,0.3383040812195359,28.6,1.5231546211727816,Stress
0.0,0.0,0.0202497477810509,0.274676089872407,28.68,1.7825823964125755,Stress
0.0,0.0,0.1664711263803449,0.262804908023439,28.68,1.6666133324799728,Stress
0.0,0.0,0.3938939140534843,0.1438338829153403,28.84,1.616910634512619,Stress
0.0,0.0,1.397014691454962,0.7964393260229028,28.0,1.6733200530681511,Stress
0.0,0.0,1.2035820605526797,1.068259566057628,27.92,2.2076231562474606,Stress
0.0,0.0,1.215238018593613,5.855325681621436,28.08,2.897171033957091,Stress
0.0,0.0,118.74071208731294,0.5740511007135051,85.24,92.71344239105784,Stress
0.0,0.0,0.1215171309411805,0.6354180837072296,66.68,3.585749572962395,Stress
0.0,0.0,0.1078282788003259,0.4626879822633764,66.64,3.2604294195703734,Stress
0.0,0.0,0.1193631966146102,0.0531709546040714,66.36,3.2604294195703734,Stress
0.0,0.0,0.0262661151801273,0.8336293127470157,66.16,3.618618520927565,Stress
0.0,0.0,0.0667967979679766,0.1099061588597598,65.8,3.752332607858744,Stress
0.0,0.0,0.2026400193394051,0.312761038604507,65.64,3.5313453526949186,Stress
0.0,0.0,0.4173868819076022,2.494096047473099,65.52,3.226391172812125,Stress
0.0,0.0,0.4218774562005277,0.0519000634504357,65.32,3.823297006511526,Stress
0.0,0.0,0.5152588140546959,1.545156470139977,64.96,3.142992204890111,Stress
0.0,0.0,0.0016450282415658,0.2488982320144739,65.4,2.785677655436824,Stress
0.0,0.0,0.1477764447916703,0.3185161775525457,65.4,2.529822128134703,Stress
0.0,0.0,0.5081904919700331,1.2430393534583273,65.56,2.483223711227001,Stress
0.0,0.0,0.0855322069185862,0.1636995855956309,65.12,2.371834732859775,Stress
0.0,0.0,0.0298218210766121,0.0495195009577988,65.2,2.078460969082653,Stress
0.0,0.0,0.1826599539837824,0.2316085378883852,65.48,2.1188676221038443,Stress
0.0,0.0,0.1873085698563962,0.318646971104259,63.28,2.6308933843848554,Stress
