mean,variance,std_dev,min,max,range,difference,state
39.2,1.1999999999999995,1.095445115010332,38.0,41.0,3.0,1.0,Panic
42.0,0.5,0.7071067811865476,41.0,43.0,2.0,1.0,Panic
39.0,4.0,2.0,37.0,42.0,5.0,4.0,Panic
45.0,2.0,1.4142135623730951,43.0,47.0,4.0,2.0,Panic
36.6,0.7999999999999999,0.8944271909999159,35.0,37.0,2.0,0.0,Panic
47.0,0.5,0.7071067811865476,46.0,48.0,2.0,2.0,Panic
43.6,3.3,1.816590212458495,42.0,46.0,4.0,-3.0,Panic
36.6,2.8,1.6733200530681511,34.0,38.0,4.0,2.0,Panic
29.8,1.7000000000000004,1.30384048104053,29.0,32.0,3.0,0.0,Panic
37.8,7.199999999999999,2.683281572999748,35.0,42.0,7.0,-3.0,Panic
38.2,0.7,0.8366600265340756,37.0,39.0,2.0,-1.0,Panic
45.2,5.7,2.3874672772626644,42.0,48.0,6.0,-2.0,Panic
36.0,0.5,0.7071067811865476,35.0,37.0,2.0,2.0,Panic
44.0,2.5,1.5811388300841898,42.0,46.0,4.0,-2.0,Panic
45.4,1.3000000000000005,1.140175425099138,44.0,47.0,3.0,-2.0,Panic
35.8,2.7,1.6431676725154982,34.0,38.0,4.0,1.0,Panic
43.8,0.7,0.8366600265340756,43.0,45.0,2.0,0.0,Panic
42.6,1.8000000000000005,1.3416407864998738,41.0,44.0,3.0,3.0,Panic
31.4,0.7999999999999999,0.8944271909999159,30.0,32.0,2.0,1.0,Panic
42.6,2.8,1.6733200530681511,41.0,45.0,4.0,0.0,Panic
44.2,2.7,1.6431676725154982,42.0,46.0,4.0,2.0,Panic
45.8,3.7,1.9235384061671343,43.0,48.0,5.0,-3.0,Panic
42.6,1.8,1.3416407864998738,41.0,44.0,3.0,-2.0,Panic
45.6,2.3,1.51657508881031,44.0,48.0,4.0,2.0,Panic
43.4,1.2999999999999998,1.1401754250991378,42.0,45.0,3.0,-2.0,Panic
37.2,1.2,1.095445115010332,36.0,39.0,3.0,0.0,Panic
31.8,1.2,1.095445115010332,30.0,33.0,3.0,-2.0,Panic
43.6,7.800000000000001,2.7928480087537886,39.0,46.0,7.0,3.0,Panic
34.8,4.199999999999999,2.0493901531919194,33.0,37.0,4.0,-4.0,Panic
45.0,0.5,0.7071067811865476,44.0,46.0,2.0,-1.0,Panic
31.6,0.3,0.5477225575051661,31.0,32.0,1.0,-1.0,Panic
32.8,0.7,0.8366600265340756,32.0,34.0,2.0,1.0,Panic
41.8,0.7,0.8366600265340756,41.0,43.0,2.0,1.0,Panic
46.6,0.8,0.8944271909999159,46.0,48.0,2.0,2.0,Panic
43.8,7.2,2.683281572999748,42.0,48.0,6.0,6.0,Panic
30.6,1.7999999999999998,1.3416407864998738,29.0,32.0,3.0,-1.0,Panic
45.0,2.5,1.5811388300841898,43.0,47.0,4.0,-1.0,Panic
36.0,2.5,1.5811388300841898,34.0,38.0,4.0,-1.0,Panic
38.4,0.7999999999999999,0.8944271909999159,37.0,39.0,2.0,1.0,Panic
45.8,0.7,0.8366600265340756,45.0,47.0,2.0,-1.0,Panic
31.8,0.7,0.8366600265340756,31.0,33.0,2.0,1.0,Panic
37.2,1.1999999999999995,1.095445115010332,36.0,39.0,3.0,0.0,Panic
43.0,0.5,0.7071067811865476,42.0,44.0,2.0,0.0,Panic
42.0,1.5,1.224744871391589,41.0,44.0,3.0,1.0,Panic
42.6,4.300000000000001,2.0736441353327724,39.0,44.0,5.0,-1.0,Panic
45.2,2.2,1.4832396974191324,43.0,47.0,4.0,-3.0,Panic
29.8,0.7,0.8366600265340756,29.0,31.0,2.0,0.0,Panic
43.0,6.5,2.549509756796392,39.0,46.0,7.0,7.0,Panic
32.2,0.7,0.8366600265340756,31.0,33.0,2.0,-2.0,Panic
32.2,0.2,0.4472135954999579,32.0,33.0,1.0,0.0,Panic
35.2,4.7,2.16794833886788,33.0,38.0,5.0,0.0,Panic
39.0,1.5,1.224744871391589,38.0,41.0,3.0,1.0,Panic
